3960,4320,3780
5580,6300,5580
3960,4860,3960
4320,4860,4500
2520,2880,2880
5220,6480,4680
4500,5760,5040
3960,3960,3420
5940,6480,5940
3420,4500,3600
1980,2520,1980
2700,3060,2520
3060,3240,2700
2160,3060,2340
2700,3060,2700
5040,6300,5040
5580,6840,5940
2880,2880,3060
4500,4680,4320
2880,3240,3060
4680,5400,4500
3780,4860,3780
3600,4500,3600
1800,2700,1800
2340,3060,2520
4140,4860,4320
5040,6300,5040
4680,6300,5220
3240,4500,3600
5760,6660,5220
2880,3240,3240
2880,3240,2700
2340,2700,2340
4320,4680,3780
5400,6300,5400
2700,3060,2520
2520,2880,2520
2700,3060,2700
3600,4860,3420
2880,3420,2700
5040,6120,4680
4860,6660,5040
4140,4860,3960
3060,3240,3060
4860,5760,4680
3960,4500,3780
3960,4860,3780
5760,6480,5940
5760,6120,5760
5400,6660,5040
4320,4860,4320
5400,6840,5580
3960,4680,3600
3060,3060,3060
4140,4860,4140
4680,6300,4140
4320,4680,3780
2340,2700,2160
2880,3060,2340
2700,3240,3060
5220,6480,5760
4320,4680,4140
5400,6660,5400
2520,3420,2880
3960,4860,4500
5400,7200,5580
2700,3060,2880
2520,3060,2880
3060,3060,3060
3420,4680,3780
2700,3060,2520
2340,3060,2340
2700,3060,2700
2520,3060,2520
4680,5220,4320
4680,5760,4500
3060,3420,3240
4140,4680,4140
3780,4500,3780
3960,4680,3960
5220,6300,5400
4680,5040,4860
2520,3060,2700
3600,4320,3420
4140,5580,4500
2700,3240,2520
5220,6660,4860
3600,4680,3960
3780,4680,3780
2340,2880,2160
5220,6480,5580
3780,4680,4320
5400,6840,5400
2700,2520,2700
3960,4500,3960
3060,3600,2700
5580,6300,5400
5580,6300,5760
3960,4860,3780
4500,4860,4140
3960,4320,3960
2340,2880,2520
5040,6480,5220
5760,6300,5400
3960,4500,3960
3960,4860,3960
4860,6120,4680
3420,3780,3240
5580,6480,6120
3060,3420,2880
4320,4860,4500
3420,4680,3780
4140,5220,4140
3960,5040,4140
2340,2700,2340
4140,4680,4140
5220,5580,5400
3600,4320,3240
5760,6120,6120
3960,4500,3960
4320,4680,4320
1980,3240,2160
2340,3060,2700
4680,5040,4500
5040,6120,5580
5940,6660,5940
3420,4500,3600
3420,4500,3060
4860,6480,4860
2880,3240,2700
4860,6120,5580
4320,5040,4320
2700,3240,2520
3600,4680,3600
2880,3240,2700
5040,6840,5400
5040,6660,4860
3600,3960,3420
3060,4320,2880
2880,3420,2700
3780,4500,3780
3600,4320,3600
3960,4680,3960
3240,3600,3240
2340,2700,2340
4680,6300,4860
4500,5040,4320
4680,6120,5040
3060,3240,2880
4860,6480,5220
2700,3240,2700
3420,4680,3600
2700,3240,2520
4860,6660,4680
2340,2700,2340
2700,3240,2340
3780,4680,3780
4140,5040,4860
3960,5220,4140
5760,6300,5940
5760,6480,5760
4140,4860,3600
2700,3060,2520
2520,2880,2520
4140,4860,3960
5220,6480,5760
3420,4860,3420
2700,3060,2520
3960,4680,3600
4140,5040,4140
4500,4860,4500
2700,2880,2520
4320,4860,4140
2700,3240,2700
4860,6480,5220
1980,2340,1980
4860,6300,4500
2880,3420,3420
4500,6300,4860
3780,4860,3600
3960,4680,4320
2520,3420,2700
4320,4680,3600
5220,6660,5580
4140,4680,4140
5940,6660,5940
5760,6300,5580
5400,5940,5040
2700,3060,2880
5220,5760,5220
2700,3060,2700
2520,3240,3060
4680,6660,4860
5400,6480,5400
3960,4500,3780
4140,5220,4320
3960,5220,3780
5580,5940,5220
5580,6480,4860
5400,5940,5220
2880,3600,2880
4140,4500,3960
3420,4680,3960
3060,2880,2520
5400,6840,5760
3780,4860,3600
4680,6300,4860
4860,5220,5040
3060,3240,2700
4680,5760,5040
4860,5760,5040
2520,3060,2700
2880,3060,2700
5220,6120,4860
2520,3060,2880
2340,3240,2520
2880,3420,3060
3960,4500,3780
4500,5940,4680
2880,3420,2880
2340,2880,2340
3060,3240,2880
3240,3780,3060
2700,3240,2880
5760,6840,5400
4320,4680,4140
3240,3600,2880
2160,2880,2160
2880,3240,2700
4320,4680,3780
2520,3060,2880
2520,3060,2520
5940,6660,5580
2520,2880,2520
5040,6300,4680
4500,6840,6120
2880,3240,2700
5220,6480,5580
4320,5040,4320
3780,4320,4140
2520,3060,2700
3060,3060,2700
2700,2880,2700
3060,3060,2700
3600,4320,3420
4860,6480,5040
